Customer_ID,Order_Date,Country,Category,Channel,Payment_Method,Quantity,Unit_Price,Discount,Sales,Shipping_Cost,Returned,Rating
C10017,2025-01-07 04:39:38.378378378,UK,Clothing,Marketplace,PayPal,3,57.89,0.1,156.29,0,0,3
C10018,2025-01-07 13:24:19.459459459,Canada,Home & Kitchen,Website,PayPal,3,67.29,0.0,201.87,0,0,5
C10019,2025-01-07 22:09:00.540540540,Thailand,Home & Kitchen,Mobile App,Credit Card,2,76.74,0.05,145.82,0,0,1
C10020,2025-01-08 06:53:41.621621621,Australia,Clothing,Marketplace,Credit Card,2,74.51,0.1,134.12,0,0,5
C10021,2025-01-08 15:38:22.702702702,Thailand,Electronics,Mobile App,PayPal,4,184.73,0.1,665.03,0,0,2
C10022,2025-01-09 00:23:03.783783783,Canada,Home & Kitchen,Marketplace,Debit Card,2,91.06,0.0,182.12,0,0,4
C10023,2025-01-09 09:07:44.864864864,Canada,Home & Kitchen,Website,Credit Card,2,63.92,0.15,108.66,0,0,3
C10024,2025-01-09 17:52:25.945945946,Canada,Home & Kitchen,Website,Mobile Payment,3,78.59,0.2,188.61,0,0,5
C10025,2025-01-10 02:37:07.027027027,UK,Beauty,Website,Credit Card,4,52.26,0.0,209.02,0,0,4
C10026,2025-01-10 11:21:48.108108108,India,Electronics,Mobile App,Mobile Payment,2,146.74,0.15,249.46,0,0,3
C10027,2025-01-10 20:06:29.189189189,India,Clothing,Marketplace,PayPal,2,54.48,0.0,108.96,0,0,4
C10028,2025-01-11 04:51:10.270270270,USA,Clothing,Website,Credit Card,4,39.05,0.0,156.21,0,0,4
C10029,2025-01-11 13:35:51.351351351,India,Electronics,Mobile App,Debit Card,5,186.27,0.0,931.35,0,1,4
C10030,2025-01-11 22:20:32.432432432,Thailand,Clothing,Website,Credit Card,4,39.31,0.0,157.24,0,0,5
C10031,2025-01-12 07:05:13.513513513,Germany,Electronics,Mobile App,Credit Card,3,229.27,0.15,584.64,0,0,4
C10032,2025-01-12 15:49:54.594594594,Thailand,Electronics,Mobile App,Credit Card,5,229.93,0.0,1149.66,0,0,3
C10033,2025-01-13 00:34:35.675675675,Thailand,Sports,Marketplace,PayPal,1,87.6,0.0,87.6,10,0,1
C10034,2025-01-13 09:19:16.756756756,Thailand,Sports,Mobile App,Debit Card,4,62.88,0.0,251.54,0,0,4
C10035,2025-01-13 18:03:57.837837837,Australia,Beauty,Website,Credit Card,3,51.44,0.0,154.33,0,0,4
C10036,2025-01-14 02:48:38.918918919,USA,Home & Kitchen,Website,Debit Card,5,97.21,0.0,486.04,0,0,4
C10037,2025-01-14 11:33:20.000000000,Australia,Electronics,Website,PayPal,4,173.1,0.1,623.16,0,0,3
C10038,2025-01-14 20:18:01.081081081,Thailand,Clothing,Website,Mobile Payment,2,62.58,0.0,125.15,0,0,4
C10039,2025-01-15 05:02:42.162162162,USA,Home & Kitchen,Website,Credit Card,4,63.78,0.15,216.84,0,0,5
C10040,2025-01-15 13:47:23.243243243,UK,Electronics,Marketplace,Debit Card,1,144.01,0.15,122.41,0,0,3
C10041,2025-01-15 22:32:04.324324324,India,Clothing,Mobile App,Debit Card,4,67.08,0.0,268.31,0,0,4
C10042,2025-01-16 07:16:45.405405405,USA,Electronics,Mobile App,PayPal,5,156.76,0.15,666.25,0,0,5
C10043,2025-01-16 16:01:26.486486486,Germany,Sports,Website,Credit Card,5,78.3,0.0,391.51,0,0,5
C10044,2025-01-17 00:46:07.567567567,India,Home & Kitchen,Marketplace,Mobile Payment,4,87.26,0.0,349.05,0,0,4
C10045,2025-01-17 09:30:48.648648648,Germany,Clothing,Mobile App,Debit Card,5,71.41,0.0,357.05,0,0,4
C10046,2025-01-17 18:15:29.729729729,Thailand,Home & Kitchen,Website,Credit Card,2,123.0,0.0,246.0,0,0,5
C10047,2025-01-18 03:00:10.810810810,Thailand,Clothing,Mobile App,Mobile Payment,4,72.52,0.05,275.57,0,0,1
C10048,2025-01-18 11:44:51.891891892,India,Clothing,Mobile App,Debit Card,2,48.92,0.1,88.05,8,0,4
C10049,2025-01-18 20:29:32.972972973,Thailand,Electronics,Website,Debit Card,2,150.46,0.0,300.93,0,0,3
C10050,2025-01-19 05:14:14.054054054,India,Sports,Mobile App,Mobile Payment,3,72.25,0.1,195.07,0,0,4
C10051,2025-01-19 13:58:55.135135135,UK,Beauty,Mobile App,Mobile Payment,4,28.21,0.0,112.82,0,0,4
C10052,2025-01-19 22:43:36.216216216,Canada,Sports,Website,PayPal,5,50.26,0.1,226.19,0,0,5
C10053,2025-01-20 07:28:17.297297297,India,Sports,Marketplace,Credit Card,2,76.11,0.0,152.22,0,0,2
C10054,2025-01-20 16:12:58.378378378,Canada,Clothing,Marketplace,Credit Card,3,58.54,0.0,175.61,0,0,4
C10055,2025-01-21 00:57:39.459459459,USA,Electronics,Mobile App,PayPal,4,97.73,0.0,390.94,0,0,4
C10056,2025-01-21 09:42:20.540540540,Australia,Electronics,Mobile App,Debit Card,4,151.43,0.0,605.73,0,0,4
C10057,2025-01-21 18:27:01.621621621,USA,Electronics,Website,Mobile Payment,1,158.52,0.05,150.6,0,1,5
C10058,2025-01-22 03:11:42.702702702,UK,Electronics,Mobile App,Mobile Payment,1,140.31,0.15,119.26,0,0,4
C10059,2025-01-22 11:56:23.783783783,Germany,Home & Kitchen,Mobile App,Mobile Payment,2,120.81,0.0,241.61,0,0,5
C10060,2025-01-22 20:41:04.864864865,India,Home & Kitchen,Website,Debit Card,1,112.0,0.1,100.8,0,0,4
C10061,2025-01-23 05:25:45.945945946,Canada,Home & Kitchen,Mobile App,Mobile Payment,2,114.81,0.1,206.65,0,0,4
C10062,2025-01-23 14:10:27.027027027,Australia,Beauty,Marketplace,Mobile Payment,5,53.28,0.15,226.43,0,0,5
C10063,2025-01-23 22:55:08.108108108,USA,Home & Kitchen,Mobile App,PayPal,2,96.07,0.0,192.14,0,0,3
C10064,2025-01-24 07:39:49.189189189,USA,Home & Kitchen,Website,Debit Card,1,91.43,0.05,86.85,3,0,2
C10065,2025-01-24 16:24:30.270270270,Australia,Clothing,Mobile App,Credit Card,5,51.22,0.15,217.69,0,0,5
C10066,2025-01-25 01:09:11.351351351,Thailand,Electronics,Website,PayPal,1,200.24,0.1,180.22,0,0,4
C10067,2025-01-25 09:53:52.432432432,Thailand,Beauty,Website,PayPal,2,40.72,0.05,77.37,3,0,5
C10068,2025-01-25 18:38:33.513513513,USA,Electronics,Website,Credit Card,3,182.9,0.0,548.69,0,0,5
C10069,2025-01-26 03:23:14.594594594,Thailand,Sports,Website,PayPal,4,94.91,0.0,379.64,0,0,4
C10070,2025-01-26 12:07:55.675675675,Thailand,Beauty,Mobile App,Debit Card,1,55.55,0.1,50.0,8,0,4
C10071,2025-01-26 20:52:36.756756756,Thailand,Electronics,Mobile App,Mobile Payment,2,226.36,0.1,407.44,0,0,4
C10072,2025-01-27 05:37:17.837837838,Thailand,Electronics,Website,Debit Card,5,221.35,0.0,1106.76,0,0,4
C10073,2025-01-27 14:21:58.918918919,Thailand,Beauty,Marketplace,Credit Card,1,47.06,0.1,42.35,10,0,5
C10074,2025-01-27 23:06:40.000000000,Canada,Beauty,Marketplace,Credit Card,1,32.65,0.1,29.39,10,0,5
C10075,2025-01-28 07:51:21.081081081,USA,Beauty,Marketplace,PayPal,4,29.65,0.05,112.69,0,0,4
C10076,2025-01-28 16:36:02.162162162,USA,Beauty,Website,Debit Card,2,47.34,0.1,85.21,8,0,2
C10077,2025-01-29 01:20:43.243243243,Australia,Electronics,Mobile App,Debit Card,3,217.83,0.15,555.46,0,0,4
C10078,2025-01-29 10:05:24.324324324,Thailand,Home & Kitchen,Marketplace,Credit Card,5,65.96,0.0,329.8,0,0,3
C10079,2025-01-29 18:50:05.405405405,Canada,Electronics,Mobile App,Debit Card,2,242.93,0.15,412.99,0,0,5
C10080,2025-01-30 03:34:46.486486486,India,Sports,Website,Credit Card,5,53.47,0.0,267.33,0,0,2
C10081,2025-01-30 12:19:27.567567567,Thailand,Clothing,Website,Debit Card,1,49.51,0.0,49.51,10,0,5
C10082,2025-01-30 21:04:08.648648648,USA,Home & Kitchen,Mobile App,Debit Card,4,105.36,0.0,421.44,0,0,4
C10083,2025-01-31 05:48:49.729729730,India,Electronics,Marketplace,Debit Card,4,147.4,0.0,589.62,0,0,5
C10084,2025-01-31 14:33:30.810810811,Canada,Home & Kitchen,Mobile App,Credit Card,3,66.49,0.0,199.47,0,0,4
C10085,2025-01-31 23:18:11.891891892,UK,Home & Kitchen,Mobile App,PayPal,4,83.86,0.0,335.45,0,0,4
C10086,2025-02-01 08:02:52.972972973,Germany,Beauty,Website,Debit Card,1,49.45,0.15,42.03,8,0,4
C10087,2025-02-01 16:47:34.054054054,unknown,Clothing,Mobile App,Credit Card,3,54.43,0.0,163.28,0,0,5
C10088,2025-02-02 01:32:15.135135135,Canada,Sports,Marketplace,Credit Card,2,81.0,0.1,145.79,0,0,4
C10089,2025-02-02 10:16:56.216216216,Thailand,Clothing,Website,Debit Card,4,60.82,0.0,243.26,0,0,4
C10090,2025-02-02 19:01:37.297297297,Canada,Electronics,Mobile App,Debit Card,3,128.8,0.15,328.44,0,0,4
C10091,2025-02-03 03:46:18.378378378,Germany,Beauty,Marketplace,PayPal,1,55.68,0.1,50.11,8,0,2
C10092,2025-02-03 12:30:59.459459459,Germany,Beauty,Website,Credit Card,5,29.16,0.0,145.8,0,0,4
C10093,2025-02-03 21:15:40.540540540,UK,Clothing,Mobile App,Credit Card,5,75.76,0.1,340.92,0,0,5
C10094,2025-02-04 06:00:21.621621621,Thailand,Beauty,Website,Mobile Payment,1,43.4,0.05,41.23,8,0,1
C10095,2025-02-04 14:45:02.702702703,Thailand,Clothing,Mobile App,Credit Card,1,75.58,0.1,68.02,3,0,4
C10096,2025-02-04 23:29:43.783783784,Thailand,Clothing,Mobile App,PayPal,5,42.92,0.05,203.86,0,0,4
C10097,2025-02-05 08:14:24.864864865,Thailand,Home & Kitchen,Mobile App,Mobile Payment,3,93.9,0.1,253.52,0,0,4
C10098,2025-02-05 16:59:05.945945946,India,Electronics,Mobile App,Mobile Payment,5,147.36,0.1,663.11,0,0,2
C10099,2025-02-06 01:43:47.027027027,USA,Electronics,Website,Mobile Payment,1,132.42,0.05,125.8,0,0,4
C10100,2025-02-06 10:28:28.108108108,Thailand,Electronics,Marketplace,Debit Card,4,203.81,0.0,815.23,0,0,2
C10101,2025-02-06 19:13:09.189189189,Canada,Clothing,Website,Debit Card,2,46.5,0.15,79.05,8,0,2
C10102,2025-02-07 03:57:50.270270270,India,Home & Kitchen,Website,Credit Card,4,100.02,0.05,380.09,0,0,5
C10103,2025-02-07 12:42:31.351351351,Canada,Clothing,Mobile App,Mobile Payment,4,42.83,0.05,162.74,0,0,4
C10104,2025-02-07 21:27:12.432432432,Canada,Sports,Mobile App,PayPal,1,65.27,0.0,65.27,3,0,5
C10105,2025-02-08 06:11:53.513513513,Thailand,Electronics,Website,Debit Card,5,224.49,0.05,1066.31,0,0,1
C10106,2025-02-08 14:56:34.594594594,USA,Home & Kitchen,Marketplace,PayPal,3,90.53,0.2,217.28,0,0,4
C10107,2025-02-08 23:41:15.675675676,Australia,Beauty,Marketplace,PayPal,4,45.58,0.0,182.31,0,0,2
C10108,2025-02-09 08:25:56.756756757,Australia,Electronics,Website,Debit Card,5,207.58,0.05,986.0,0,0,4
C10109,2025-02-09 17:10:37.837837838,Thailand,Electronics,Marketplace,Debit Card,3,232.31,0.1,627.25,0,0,5
C10110,2025-02-10 01:55:18.918918919,India,Home & Kitchen,Website,Debit Card,4,83.47,0.15,283.8,0,0,5
C10111,2025-02-10 10:40:00.000000000,Thailand,Electronics,Website,Debit Card,3,212.6,0.05,605.91,0,0,2
C10112,2025-02-10 19:24:41.081081081,Thailand,Sports,Website,Mobile Payment,5,96.12,0.0,480.6,0,0,4
C10113,2025-02-11 04:09:22.162162162,UK,Beauty,Marketplace,Mobile Payment,2,48.45,0.15,82.36,5,0,4
C10114,2025-02-11 12:54:03.243243243,Germany,Clothing,Mobile App,Mobile Payment,5,57.36,0.1,258.12,0,0,3
C10115,2025-02-11 21:38:44.324324324,Germany,Sports,Website,Mobile Payment,1,79.91,0.0,79.91,8,0,3
C10116,2025-02-12 06:23:25.405405405,Thailand,Beauty,Website,Credit Card,3,48.71,0.0,146.13,0,0,5
C10117,2025-02-12 15:08:06.486486486,India,Electronics,Mobile App,Mobile Payment,2,203.15,0.05,385.98,0,0,5
C10118,2025-02-12 23:52:47.567567567,Thailand,Sports,Website,Debit Card,3,49.82,0.0,149.45,0,0,5
C10119,2025-02-13 08:37:28.648648649,Thailand,Clothing,Marketplace,PayPal,3,46.0,0.0,138.0,0,0,5
C10120,2025-02-13 17:22:09.729729730,India,Beauty,Marketplace,Mobile Payment,4,50.69,0.15,172.36,0,1,4
C10121,2025-02-14 02:06:50.810810811,Canada,Sports,Mobile App,Credit Card,1,62.36,0.0,62.36,5,0,4
C10122,2025-02-14 10:51:31.891891892,India,Home & Kitchen,Marketplace,Debit Card,3,109.09,0.1,294.54,0,0,3
C10123,2025-02-14 19:36:12.972972973,India,Electronics,Website,PayPal,5,172.89,0.0,864.44,0,0,2
C10124,2025-02-15 04:20:54.054054054,Germany,Electronics,Marketplace,PayPal,5,191.76,0.1,862.91,0,0,4
C10125,2025-02-15 13:05:35.135135135,UK,Home & Kitchen,Mobile App,Mobile Payment,4,67.28,0.1,242.22,0,0,5
C10126,2025-02-15 21:50:16.216216216,Thailand,Beauty,Mobile App,PayPal,1,33.07,0.0,33.07,10,0,5
C10127,2025-02-16 06:34:57.297297297,USA,Sports,Website,Mobile Payment,1,95.9,0.05,91.11,8,0,5
C10128,2025-02-16 15:19:38.378378378,USA,Electronics,Marketplace,Mobile Payment,5,238.16,0.0,1190.79,0,0,5
C10129,2025-02-17 00:04:19.459459459,Thailand,Clothing,Website,Debit Card,2,63.61,0.15,108.14,0,0,5
C10130,2025-02-17 08:49:00.540540540,Australia,Home & Kitchen,Website,Debit Card,4,91.96,0.15,312.66,0,0,3
C10131,2025-02-17 17:33:41.621621621,UK,Electronics,Website,Credit Card,4,211.15,0.05,802.35,0,0,5
C10132,2025-02-18 02:18:22.702702703,Thailand,Electronics,Mobile App,Debit Card,5,203.94,0.05,968.74,0,0,4
C10133,2025-02-18 11:03:03.783783784,Thailand,Home & Kitchen,Mobile App,Debit Card,5,98.82,0.0,494.09,0,1,3
C10134,2025-02-18 19:47:44.864864865,Australia,Sports,Mobile App,Mobile Payment,2,51.9,0.1,93.42,5,1,5
C10135,2025-02-19 04:32:25.945945946,Thailand,Home & Kitchen,Marketplace,Debit Card,2,102.87,0.05,195.45,0,0,5
C10136,2025-02-19 13:17:07.027027027,India,Clothing,Website,Mobile Payment,1,68.1,0.0,68.1,8,0,3
C10137,2025-02-19 22:01:48.108108108,UK,Beauty,Mobile App,Mobile Payment,4,55.83,0.05,212.17,0,0,1
C10138,2025-02-20 06:46:29.189189189,UK,Home & Kitchen,Website,Debit Card,4,63.7,0.0,254.79,0,0,4
C10139,2025-02-20 15:31:10.270270270,Germany,Sports,Marketplace,Credit Card,5,84.78,0.1,381.5,0,0,4
C10140,2025-02-21 00:15:51.351351351,India,Sports,Marketplace,Credit Card,1,77.02,0.0,77.02,10,0,5
C10141,2025-02-21 09:00:32.432432432,USA,Home & Kitchen,Mobile App,PayPal,4,90.35,0.1,325.24,0,0,3
C10142,2025-02-21 17:45:13.513513513,Australia,Clothing,Mobile App,PayPal,1,43.41,0.0,43.41,3,0,2
C10143,2025-02-22 02:29:54.594594594,UK,Home & Kitchen,Website,Debit Card,1,88.77,0.0,88.77,3,0,3
C10144,2025-02-22 11:14:35.675675676,Thailand,Home & Kitchen,Mobile App,Credit Card,5,85.33,0.1,383.97,0,0,1
C10145,2025-02-22 19:59:16.756756757,India,Electronics,Marketplace,Mobile Payment,1,164.16,0.2,131.33,0,0,1
C10146,2025-02-23 04:43:57.837837838,India,Clothing,Mobile App,PayPal,2,66.64,0.1,119.95,0,0,5
C10147,2025-02-23 13:28:38.918918919,Germany,Clothing,Website,Mobile Payment,2,65.48,0.0,130.96,0,0,4
C10148,2025-02-23 22:13:20.000000000,India,Electronics,Mobile App,PayPal,3,200.22,0.0,600.65,0,0,4
C10149,2025-02-24 06:58:01.081081081,India,Home & Kitchen,Marketplace,Debit Card,5,122.14,0.15,519.08,0,0,1
C10150,2025-02-24 15:42:42.162162162,Australia,Sports,Website,Credit Card,3,66.14,0.05,188.51,0,0,3
C10151,2025-02-25 00:27:23.243243243,India,Electronics,Website,PayPal,2,156.72,0.0,313.44,0,0,5
C10152,2025-02-25 09:12:04.324324324,Australia,Electronics,Mobile App,Credit Card,3,208.64,0.15,532.04,0,0,4
C10153,2025-02-25 17:56:45.405405406,Australia,Clothing,Marketplace,Mobile Payment,5,46.15,0.15,196.16,0,0,5
C10154,2025-02-26 02:41:26.486486487,Germany,Sports,Website,Debit Card,5,64.44,0.2,257.74,0,0,4
C10155,2025-02-26 11:26:07.567567568,Australia,Electronics,Website,Credit Card,1,154.3,0.15,131.15,0,0,4
C10156,2025-02-26 20:10:48.648648649,Thailand,Clothing,Website,Debit Card,4,41.16,0.15,139.95,0,0,4
C10157,2025-02-27 04:55:29.729729730,India,Beauty,Website,Credit Card,1,51.17,0.0,51.17,5,0,4
C10158,2025-02-27 13:40:10.810810811,India,Electronics,Mobile App,Mobile Payment,5,158.07,0.0,790.36,0,0,5
C10159,2025-02-27 22:24:51.891891892,Thailand,Beauty,Mobile App,Mobile Payment,2,41.24,0.1,74.24,3,0,3
C10160,2025-02-28 07:09:32.972972973,India,Home & Kitchen,Mobile App,Debit Card,2,65.73,0.05,124.88,0,0,4
C10161,2025-02-28 15:54:14.054054054,Thailand,Clothing,Mobile App,Mobile Payment,1,65.42,0.05,62.15,3,0,3
C10162,2025-03-01 00:38:55.135135135,USA,Clothing,Website,PayPal,5,51.23,0.05,243.33,0,0,4
C10163,2025-03-01 09:23:36.216216216,Australia,Clothing,Marketplace,Credit Card,2,67.17,0.05,127.63,0,0,5
C10164,2025-03-01 18:08:17.297297297,Thailand,Electronics,Mobile App,Mobile Payment,5,177.96,0.1,800.83,0,0,4
C10165,2025-03-02 02:52:58.378378379,India,Beauty,Marketplace,PayPal,2,33.48,0.0,66.96,10,0,4
C10166,2025-03-02 11:37:39.459459460,India,Home & Kitchen,Mobile App,Debit Card,5,95.33,0.0,476.65,0,0,5
C10167,2025-03-02 20:22:20.540540541,UK,Electronics,Website,PayPal,3,142.44,0.05,405.96,0,0,4
C10168,2025-03-03 05:07:01.621621622,Thailand,Electronics,Mobile App,Debit Card,5,181.51,0.1,816.79,0,0,3
C10169,2025-03-03 13:51:42.702702703,Thailand,Clothing,Website,Debit Card,5,50.72,0.0,253.58,0,0,3
C10170,2025-03-03 22:36:23.783783784,Germany,Clothing,Mobile App,Credit Card,1,73.61,0.05,69.93,8,0,5
C10171,2025-03-04 07:21:04.864864865,Canada,Electronics,Website,Credit Card,3,133.68,0.1,360.93,0,0,5
C10172,2025-03-04 16:05:45.945945946,Germany,Clothing,Website,PayPal,4,65.22,0.05,247.83,0,0,4
C10173,2025-03-05 00:50:27.027027027,Thailand,Electronics,Marketplace,Credit Card,1,149.03,0.0,149.03,0,0,4
C10174,2025-03-05 09:35:08.108108108,Germany,Clothing,Website,Credit Card,4,50.78,0.05,192.98,0,0,5
C10175,2025-03-05 18:19:49.189189189,UK,Electronics,Marketplace,Credit Card,2,178.35,0.0,356.71,0,0,2
C10176,2025-03-06 03:04:30.270270270,India,Clothing,Website,PayPal,4,73.46,0.15,249.76,0,0,4
C10177,2025-03-06 11:49:11.351351352,Thailand,Home & Kitchen,Mobile App,Mobile Payment,5,78.28,0.0,391.41,0,0,2
C10178,2025-03-06 20:33:52.432432433,Australia,Sports,Mobile App,Credit Card,4,53.47,0.1,192.51,0,0,5
C10179,2025-03-07 05:18:33.513513514,UK,Electronics,Mobile App,Credit Card,1,166.15,0.0,166.15,0,0,2
C10180,2025-03-07 14:03:14.594594595,Canada,Home & Kitchen,Website,PayPal,1,69.59,0.05,66.11,8,0,4
C10181,2025-03-07 22:47:55.675675676,USA,Electronics,Website,Mobile Payment,4,142.2,0.1,511.93,0,0,2
C10182,2025-03-08 07:32:36.756756757,Germany,Sports,Website,Credit Card,1,77.12,0.0,77.12,5,0,4
C10183,2025-03-08 16:17:17.837837838,Canada,Sports,Website,Debit Card,1,51.98,0.05,49.38,5,0,5
C10184,2025-03-09 01:01:58.918918919,Thailand,Home & Kitchen,Mobile App,PayPal,4,64.95,0.0,259.79,0,0,4
C10185,2025-03-09 09:46:40.000000000,Canada,Clothing,Marketplace,Credit Card,3,66.0,0.0,198.01,0,0,4
C10186,2025-03-09 18:31:21.081081081,Australia,Beauty,Marketplace,Credit Card,3,38.13,0.1,102.94,0,0,4
C10187,2025-03-10 03:16:02.162162162,Thailand,Clothing,Mobile App,Debit Card,2,43.33,0.0,86.65,8,0,4
C10188,2025-03-10 12:00:43.243243243,USA,Clothing,Mobile App,Debit Card,1,48.26,0.15,41.02,5,0,5
C10189,2025-03-10 20:45:24.324324325,Australia,Electronics,Mobile App,PayPal,4,206.9,0.1,744.85,0,0,3
C10190,2025-03-11 05:30:05.405405406,Thailand,Electronics,Website,PayPal,1,160.72,0.05,152.68,0,0,5
C10191,2025-03-11 14:14:46.486486487,Germany,Sports,Marketplace,Debit Card,5,73.23,0.0,366.16,0,0,3
C10192,2025-03-11 22:59:27.567567568,USA,Sports,Mobile App,PayPal,1,54.96,0.05,52.21,3,0,3
C10193,2025-03-12 07:44:08.648648649,Germany,Clothing,Mobile App,Debit Card,1,61.14,0.1,55.03,5,0,4
C10194,2025-03-12 16:28:49.729729730,Thailand,Home & Kitchen,Website,Credit Card,3,82.91,0.0,248.74,0,0,4
C10195,2025-03-13 01:13:30.810810811,India,Home & Kitchen,Website,Debit Card,4,102.5,0.15,348.5,0,0,4
C10196,2025-03-13 09:58:11.891891892,Canada,Beauty,Mobile App,Debit Card,1,50.64,0.0,50.64,10,0,5
C10197,2025-03-13 18:42:52.972972973,Canada,Sports,Marketplace,Mobile Payment,3,78.97,0.15,201.38,0,0,3
C10198,2025-03-14 03:27:34.054054054,Australia,Sports,Mobile App,Debit Card,2,63.49,0.0,126.98,0,0,1
C10199,2025-03-14 12:12:15.135135135,Thailand,Beauty,Website,Debit Card,3,35.16,0.15,89.66,10,0,5
C10200,2025-03-14 20:56:56.216216216,Australia,Clothing,Marketplace,Mobile Payment,3,51.11,0.05,145.65,0,0,5
C10201,2025-03-15 05:41:37.297297297,Thailand,Electronics,Website,PayPal,3,146.74,0.0,440.23,0,0,2
C10202,2025-03-15 14:26:18.378378379,Thailand,Electronics,Website,Mobile Payment,1,148.83,0.0,148.83,0,0,4
C10203,2025-03-15 23:10:59.459459460,USA,Sports,Website,Credit Card,1,87.74,0.05,83.36,5,0,4
C10204,2025-03-16 07:55:40.540540541,UK,Clothing,Mobile App,Mobile Payment,2,53.31,0.2,85.3,8,0,5
C10205,2025-03-16 16:40:21.621621622,India,Electronics,Marketplace,Credit Card,5,180.94,0.0,904.68,0,0,5
C10206,2025-03-17 01:25:02.702702703,Australia,Electronics,Website,PayPal,5,200.85,0.0,1004.25,0,0,5
C10207,2025-03-17 10:09:43.783783784,USA,Clothing,Marketplace,Mobile Payment,5,61.2,0.1,275.41,0,0,5
C10208,2025-03-17 18:54:24.864864865,Thailand,Electronics,Website,Mobile Payment,2,134.49,0.05,255.53,0,1,3
C10209,2025-03-18 03:39:05.945945946,Canada,Electronics,Marketplace,PayPal,5,230.77,0.05,1096.18,0,0,5
C10210,2025-03-18 12:23:47.027027027,USA,Clothing,Mobile App,Credit Card,5,45.33,0.1,203.97,0,0,4
C10211,2025-03-18 21:08:28.108108108,UK,Clothing,Marketplace,Mobile Payment,3,66.34,0.0,199.01,0,0,2
C10212,2025-03-19 05:53:09.189189189,Thailand,Clothing,Website,Credit Card,1,68.25,0.15,58.01,5,0,4
C10213,2025-03-19 14:37:50.270270270,India,Electronics,Marketplace,Mobile Payment,1,216.08,0.05,205.27,0,0,5
C10214,2025-03-19 23:22:31.351351352,Australia,Beauty,Mobile App,Debit Card,3,44.21,0.0,132.63,0,0,5
C10215,2025-03-20 08:07:12.432432433,Thailand,Electronics,Website,Mobile Payment,3,127.84,0.1,345.17,0,1,2
C10216,2025-03-20 16:51:53.513513514,Thailand,Home & Kitchen,Marketplace,PayPal,3,85.7,0.1,231.4,0,0,5
C10217,2025-03-21 01:36:34.594594595,Australia,Beauty,Website,PayPal,1,44.94,0.0,44.94,3,0,5
C10218,2025-03-21 10:21:15.675675676,Germany,Clothing,Marketplace,Credit Card,5,53.42,0.1,240.38,0,0,3
C10219,2025-03-21 19:05:56.756756757,Thailand,Beauty,Website,Mobile Payment,3,52.18,0.0,156.53,0,0,4
C10220,2025-03-22 03:50:37.837837838,Canada,Clothing,Mobile App,Credit Card,2,50.39,0.05,95.74,3,0,5
C10221,2025-03-22 12:35:18.918918919,Thailand,Clothing,Mobile App,Credit Card,3,49.8,0.15,126.99,0,0,4
C10222,2025-03-22 21:20:00.000000000,USA,Electronics,Website,Debit Card,4,159.52,0.0,638.06,0,0,2
C10223,2025-03-23 06:04:41.081081081,Canada,Home & Kitchen,Website,Debit Card,3,83.97,0.05,239.3,0,0,5
C10224,2025-03-23 14:49:22.162162162,USA,Home & Kitchen,Website,PayPal,1,98.12,0.15,83.4,5,0,5
